Method name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxNesting,ParaCount,halstead_vocabulary,halstead_length,halstead_difficulty,halstead_volume,halstead_effort,halstead_bugs,statementModify,expressionModify,commentModify,returnTypeModify,parameterModify,prefixModify,statementModify/countStmt,expressionModify/Total LOC,commentModify/Total LOC,parameterModify/ParaCount,Churn count,Churned num,DeleteNum,Churned num/Total LOC,Deleted num/Total LOC,Churned num/Deleted num,Nums worked on/Churn count,authorNum,bug-prone
org.apache.avro.generic.GenericDatumWriter.writeBytes,4,7,0,3,1,1,4,1,1,2,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0.5,0.0,0.0,0.5,1,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.avro.generic.GenericDatumWriter.writeFixed,4,7,0,3,1,1,4,3,1,2,1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0.5,0.0,0.0,0.3333333333333333,1,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.avro.generic.GenericRecordBuilder.get,3,9,0,3,1,1,6,2,1,2,1,1,1,0,1,7.0,8.0,3.75,22.458839376460833,210.0,0.011776736060179817,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,0.3333333333333333,0.0,0,1.0,1,bug-prone
org.apache.avro.generic.GenericRecordBuilder.set,6,14,0,6,1,4,8,4,1,5,1,4,1,0,3,18.0,31.0,8.125,129.26767504471167,4533.75,0.0913097438242237,3,0,0,0,0,0,0.6,0.0,0.0,0.0,1,1,0,0.16666666666666666,0.0,0,1.0,1,bug-prone
org.apache.avro.generic.GenericRecordBuilder.has,2,9,0,3,1,1,6,2,1,2,1,1,1,0,1,7.0,8.0,3.75,22.458839376460833,210.0,0.011776736060179817,2,0,0,0,0,0,1.0,0.0,0.0,0.0,1,1,0,0.3333333333333333,0.0,0,1.0,1,bug-prone
org.apache.avro.generic.GenericRecordBuilder.clear,3,11,0,5,1,3,6,3,1,4,1,3,1,0,1,14.0,19.0,5.333333333333333,72.33974351909447,1418.6666666666665,0.042085483569413426,2,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,0.2,0.0,0,1.0,1,bug-prone
org.apache.avro.generic.GenericRecordBuilder.build,9,22,2,20,3,12,0,7,10,14,4,10,5,2,0,32.0,73.0,25.5,365.0,59568.0,0.5084178126610054,1,1,0,0,0,0,0.07142857142857142,0.045454545454545456,0.0,0,1,1,0,0.045454545454545456,0.0,0,1.0,1,bug-prone
org.apache.avro.generic.GenericRecordBuilder.getWithDefault,3,13,0,3,1,1,10,5,1,2,1,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,0.3333333333333333,0.0,0,1.0,1,bug-prone
org.apache.avro.io.BinaryData.compare,21,97,0,93,17,76,10,26,53,63,18,45,28,4,2,0.0,0.0,0.0,0.0,0.0,0.0,66,2,2,0,0,0,1.0476190476190477,0.021505376344086023,0.021505376344086023,0.0,4,28,20,0.3010752688172043,0.21505376344086022,1.4,12.0,4,bug-prone
org.apache.avro.io.BinaryData.hashCode,19,51,0,51,5,42,0,23,18,33,8,25,19,3,2,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0.30303030303030304,0.0,0.0,0.0,1,6,4,0.11764705882352941,0.0784313725490196,1.5,10.0,1,not bug-prone
org.apache.avro.io.BinaryData.hashBytes,6,14,0,14,5,12,0,4,4,16,7,9,4,2,4,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.125,0.0,0.0,0.0,1,2,0,0.14285714285714285,0.0,0,2.0,1,bug-prone
org.apache.avro.io.BinaryDecoder.configure,7,4,0,4,1,2,0,3,1,3,1,2,1,0,3,15.0,25.0,6.75,97.67226489021297,2531.25,0.06191113591677423,4,0,0,2,1,1,1.3333333333333333,0.0,0.0,0.3333333333333333,1,1,0,0.25,0.0,0,1.0,1,not bug-prone
org.apache.avro.io.BinaryDecoder.readBoolean,7,12,0,11,2,7,1,5,3,8,2,6,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0,0,0,0.625,0.08333333333333333,0.08333333333333333,0,1,5,1,0.4166666666666667,0.08333333333333333,5.0,6.0,1,not bug-prone
org.apache.avro.io.BinaryDecoder.readInt,6,30,0,30,4,22,2,5,12,23,4,19,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,45,3,1,0,0,0,1.9565217391304348,0.1,0.03333333333333333,0,4,36,11,1.2,0.36666666666666664,3.272727272727273,11.75,4,not bug-prone
org.apache.avro.io.BinaryDecoder.readLong,10,35,0,33,4,25,3,5,10,23,4,19,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0,84,6,2,0,0,0,3.652173913043478,0.17142857142857143,0.05714285714285714,0,2,59,29,1.6857142857142857,0.8285714285714286,2.0344827586206895,44.0,2,not bug-prone
org.apache.avro.io.BinaryDecoder.innerLongDecode,4,30,0,30,3,22,0,3,7,23,3,20,7,6,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.043478260869565216,0.0,0.0,0.0,1,1,0,0.03333333333333333,0.0,0,1.0,1,not bug-prone
org.apache.avro.io.BinaryDecoder.readFloat,4,11,0,11,4,8,0,5,2,8,3,5,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,0,0,0,0,2.375,0.09090909090909091,0.0,0,2,8,11,0.7272727272727273,1.0,0.7272727272727273,9.5,2,not bug-prone
org.apache.avro.io.BinaryDecoder.readDouble,3,13,0,13,6,10,0,5,2,9,4,5,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,0,0,0,0,2.5555555555555554,0.07692307692307693,0.0,0,2,10,13,0.7692307692307693,1.0,0.7692307692307693,11.5,2,not bug-prone
org.apache.avro.io.BinaryDecoder.readString,1,3,0,3,1,1,0,3,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0,0,0,0,4.5,0.06666666666666667,0.0,0.0,2,10,0,0.6666666666666666,0.0,0,5.0,2,not bug-prone
org.apache.avro.io.BinaryDecoder.skipString,0,3,0,3,1,1,0,2,1,2,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.5,0.0,0.0,0,1,1,0,0.3333333333333333,0.0,0,1.0,1,not bug-prone
org.apache.avro.io.BinaryDecoder.readBytes,4,13,0,13,3,9,0,9,2,10,3,7,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,0,0,0,1.2,0.07692307692307693,0.0,0.0,3,11,1,0.8461538461538461,0.07692307692307693,11.0,4.0,3,bug-prone
org.apache.avro.io.BinaryDecoder.skipBytes,0,3,0,3,1,1,0,2,1,2,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.5,0.0,0.0,0,1,1,0,0.3333333333333333,0.0,0,1.0,1,not bug-prone
org.apache.avro.io.BinaryDecoder.doSkipBytes,8,10,0,10,2,7,0,3,2,7,2,5,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0,0,0,1,1.4285714285714286,0.1,0.0,0.0,1,7,4,0.7,0.4,1.75,11.0,1,not bug-prone
org.apache.avro.io.BinaryDecoder.doReadBytes,10,23,0,15,2,12,8,4,4,12,2,10,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,22,3,2,0,0,1,1.8333333333333333,0.17647058823529413,0.11764705882352941,0.0,3,19,8,1.1176470588235294,0.47058823529411764,2.375,9.0,3,bug-prone
org.apache.avro.io.BinaryDecoder.doReadItemCount,4,22,0,8,2,5,14,2,2,6,2,4,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0.0,0.1111111111111111,0.1111111111111111,0,1,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.avro.io.BinaryDecoder.doSkipItems,2,28,0,9,3,6,19,3,2,7,3,4,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.42857142857142855,0.1111111111111111,0.0,0,1,3,0,0.3333333333333333,0.0,0,3.0,1,not bug-prone
org.apache.avro.io.BinaryDecoder.isEnd,10,27,1,12,2,8,14,5,3,9,2,7,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,3,0,0,0,0.7777777777777778,0.07142857142857142,0.21428571428571427,0,1,7,4,0.5,0.2857142857142857,1.75,11.0,1,not bug-prone
org.apache.avro.io.BinaryDecoder.ensureBounds,10,21,0,8,2,5,13,2,3,6,2,4,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1,2,0,0.2222222222222222,0.0,0,2.0,1,bug-prone
org.apache.avro.io.BinaryDecoder.inputStream,10,10,0,3,1,1,7,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.avro.io.BinaryEncoder.writeString,1,3,0,3,1,1,0,3,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0,0,5.0,0.0,0.0,0.0,2,7,0,0.7777777777777778,0.0,0,3.5,2,not bug-prone
org.apache.avro.io.BinaryEncoder.writeBytes,4,8,0,8,1,5,0,3,2,6,1,5,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,19,1,0,0,0,0,3.1666666666666665,0.125,0.0,0.0,1,5,1,0.625,0.125,5.0,6.0,1,not bug-prone
org.apache.avro.io.BinaryEncoder.writeEnum,1,3,0,3,1,1,0,1,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,1,1,1,0.3333333333333333,0.3333333333333333,1.0,2.0,1,not bug-prone
org.apache.avro.io.BinaryEncoder.setItemCount,2,5,0,5,1,2,0,1,2,3,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1,1,0,0.2,0.0,0,1.0,1,not bug-prone
org.apache.avro.io.BinaryEncoder.writeArrayEnd,0,3,0,3,1,1,0,1,1,2,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,0.0,0.0,0,1,1,1,0.3333333333333333,0.3333333333333333,1.0,2.0,1,not bug-prone
org.apache.avro.io.BinaryEncoder.writeMapEnd,1,3,0,3,1,1,0,1,1,2,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,0.0,0.0,0,1,1,1,0.3333333333333333,0.3333333333333333,1.0,2.0,1,not bug-prone
org.apache.avro.io.BinaryEncoder.writeIndex,1,3,0,3,1,1,0,1,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,1,1,1,0.3333333333333333,0.3333333333333333,1.0,2.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.check,18,14,1,13,3,10,0,2,2,13,4,9,2,1,0,29.0,68.0,22.09090909090909,330.34270766867496,43563.27272727272,0.4126917096459288,2,0,0,0,0,0,0.15384615384615385,0.0,0.0,0,1,0,2,0.0,0.14285714285714285,0.0,2.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.flush,8,14,1,13,2,9,0,5,3,9,2,7,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0.4444444444444444,0.0,0.0,0,2,9,1,0.6428571428571429,0.07142857142857142,9.0,5.0,2,bug-prone
org.apache.avro.io.BlockingBinaryEncoder.writeBoolean,3,4,0,4,1,2,0,3,1,3,1,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,1.6666666666666667,0.0,0.0,0.0,1,3,3,0.75,0.75,1.0,6.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.writeInt,3,4,0,4,1,2,0,3,1,3,1,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.3333333333333333,0.0,0.0,0.0,1,3,2,0.75,0.5,1.5,5.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.writeLong,3,4,0,4,1,2,0,3,1,3,1,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.3333333333333333,0.0,0.0,0.0,1,3,2,0.75,0.5,1.5,5.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.writeFloat,3,4,0,4,1,2,0,3,1,3,1,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.3333333333333333,0.0,0.0,0.0,1,3,2,0.75,0.5,1.5,5.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.writeDouble,3,4,0,4,1,2,0,3,1,3,1,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.3333333333333333,0.0,0.0,0.0,1,3,2,0.75,0.5,1.5,5.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.writeFixed,1,11,0,11,4,8,0,8,2,8,4,4,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.125,0.0,0.0,0.0,1,0,1,0.0,0.3333333333333333,0.0,1.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.writeIndex,3,4,0,4,1,2,0,3,1,3,1,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,1.3333333333333333,0.0,0.0,0.0,1,3,2,0.75,0.5,1.5,5.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.endBlockedValue,14,40,0,39,5,31,3,11,17,30,5,25,7,4,0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,1,0,0,0,0.5,0.0,0.025,0,1,8,8,0.2,0.2,1.0,16.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.finishOverflow,9,24,2,13,2,10,9,8,2,11,2,9,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.09090909090909091,0.0,0.0,0,1,1,0,0.058823529411764705,0.0,0,1.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.ensureBounds,17,10,0,10,1,6,0,3,3,6,1,5,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,2,0.1,0.2,0.5,3.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.doWriteBytes,13,12,0,12,1,9,0,4,2,8,1,7,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.375,0.0,0.0,0.0,1,2,1,0.16666666666666666,0.08333333333333333,2.0,3.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.write,12,22,0,22,1,16,0,5,5,15,1,14,5,4,3,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.2,0.0,0.0,0.0,1,4,0,0.18181818181818182,0.0,0,4.0,1,not bug-prone
org.apache.avro.io.BlockingBinaryEncoder.compact,14,58,9,34,5,28,15,9,12,34,6,28,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0.23529411764705882,0.0,0.0,0,1,6,2,0.10526315789473684,0.03508771929824561,3.0,8.0,1,not bug-prone
org.apache.avro.io.BufferedBinaryEncoder.configure,11,22,0,22,1,15,0,9,16,15,1,14,6,3,2,41.0,95.0,26.0,508.967440438718,101270.0,0.7242123922914306,3,0,0,0,0,0,0.2,0.0,0.0,0.0,1,1,2,0.045454545454545456,0.09090909090909091,0.5,3.0,1,not bug-prone
org.apache.avro.io.BufferedBinaryEncoder.flushBuffer,10,13,0,9,1,5,4,2,2,5,1,4,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.2,0.0,0.0,0,1,3,0,0.3333333333333333,0.0,0,3.0,1,not bug-prone
org.apache.avro.io.BufferedBinaryEncoder.writeFixed,3,9,0,9,2,6,1,6,2,6,2,4,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0,0,0.6666666666666666,0.0,0.1111111111111111,0.0,2,4,0,0.4444444444444444,0.0,0,2.0,2,bug-prone
org.apache.avro.io.Decoder.readFixed,3,12,0,1,1,0,11,0,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1.0,0.0,0.0,0.0,1,1,0,0.3333333333333333,0.0,0,1.0,1,not bug-prone
org.apache.avro.io.DecoderFactory.defaultFactory,0,6,0,3,1,1,3,2,1,2,1,1,1,0,0,4.0,4.0,1.5,8.0,24.0,0.002773445097402539,2,0,0,0,0,0,1.0,0.0,0.0,0,1,1,1,0.3333333333333333,0.3333333333333333,1.0,2.0,1,not bug-prone
org.apache.avro.io.DecoderFactory.createBinaryDecoder,3,4,0,3,1,1,1,2,1,2,1,1,1,0,4,11.0,17.0,6.125,58.81033751683406,1145.375,0.036490281329513576,18,7,0,0,0,0,9.0,1.0,0.0,0.0,1,3,3,0.42857142857142855,0.42857142857142855,1.0,6.0,1,not bug-prone
org.apache.avro.io.DecoderFactory.binaryDecoder,38,12,0,3,1,1,9,2,1,2,1,1,1,0,2,11.0,17.0,6.125,58.81033751683406,1145.375,0.036490281329513576,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,0.3333333333333333,0.0,0,1.0,1,not bug-prone
org.apache.avro.io.DirectBinaryDecoder.configure,4,6,0,6,1,4,0,4,1,4,1,3,2,0,1,15.0,24.0,9.625,93.76537429460444,3465.0,0.07632747656714306,1,0,0,1,0,1,0.25,0.0,0.0,0.0,1,1,0,0.16666666666666666,0.0,0,1.0,1,not bug-prone
org.apache.avro.io.DirectBinaryDecoder.readInt,2,19,1,18,4,13,1,4,3,13,4,9,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.07692307692307693,0.0,0.0,0,1,1,0,0.05263157894736842,0.0,0,1.0,1,not bug-prone
org.apache.avro.io.DirectBinaryDecoder.readLong,1,18,0,18,4,13,1,4,3,13,4,9,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.07692307692307693,0.0,0.0,0,1,1,0,0.05555555555555555,0.0,0,1.0,1,not bug-prone
